employer_name,Jurisdiction Type,Service Type,Jurisdiction Name
APACHE COUNTY - AOC,Courts,Probation,Apache County
APACHE COUNTY - CORP,County,Detention,Apache County
CITY OF AVONDALE - DETENTION,City,Detention,City Of Avondale
CITY OF SOMERTON - DISPATCHERS,City,Dispatch,City Of Somerton
COCHISE COUNTY - AOC,Courts,Probation,Cochise County
COCHISE COUNTY - CORP,County,Detention,Cochise County
COCONINO COUNTY - AOC,Courts,Probation,Coconino County
COCONINO COUNTY - CORP,County,Detention,Coconino County
DEPARTMENT OF CORRECTIONS - CORP,State,Detention,DOC
DEPT OF JUVENILE CORRECTIONS-CORP,State,Detention,DJC
DEPT. OF PUBLIC SAFETY DETENTION,State,Detention,DPS
DEPT. OF PUBLIC SAFETY DISPATCHER,State,Dispatch,DPS
GILA COUNTY - AOC,Courts,Probation,Gila County
GILA COUNTY - CORP,County,Detention,Gila County
GILA COUNTY - DISPATCHERS,County,Dispatch,Gila County
GRAHAM COUNTY - AOC,Courts,Probation,Graham County
GRAHAM COUNTY - DETENTION,County,Detention,Graham County
GRAHAM COUNTY - DISPATCHERS,County,Dispatch,Graham County
GREENLEE COUNTY - AOC,Courts,Probation,Greenlee County
LA PAZ COUNTY - AOC,Courts,Probation,La Paz County
LA PAZ COUNTY DETENTION,County,Detention,La Paz County
MARICOPA COUNTY - CORP,County,Detention,Maricopa County
MARICOPA COUNTY-AOC JUDICIAL BR.,Courts,Probation,Maricopa County
MOHAVE COUNTY - AOC,Courts,Probation,Mohave County
MOHAVE COUNTY - CORP,County,Detention,Mohave County
NAVAJO COUNTY - AOC,Courts,Probation,Navajo County
NAVAJO COUNTY - CORP,County,Detention,Navajo County
ORO VALLEY - DISPATCHERS,City,Dispatch,Oro Valley
PIMA COUNTY - AOC,Courts,Probation,Pima County
PIMA COUNTY - CORP,County,Detention,Pima County
PINAL COUNTY - AOC,Courts,Probation,Pinal County
PINAL COUNTY - CORP,County,Detention,Pinal County
PINAL COUNTY - DISPATCHERS,County,Dispatch,Pinal County
SANTA CRUZ COUNTY - AOC,Courts,Probation,Santa Cruz County
SANTA CRUZ COUNTY - CORP,County,Detention,Santa Cruz County
TOWN OF MARANA - DISPATCHERS,City,Dispatch,Town Of Marana
TOWN OF WICKENBURG-DISPATCHERS,City,Dispatch,Town Of Wickenburg
YAVAPAI COUNTY - AOC,Courts,Probation,Yavapai County
YAVAPAI COUNTY - CORP,County,Detention,Yavapai County
YAVAPAI COUNTY - DISPATCHERS,County,Dispatch,Yavapai County
YUMA COUNTY - AOC,Courts,Probation,Yuma County
YUMA COUNTY - CORP,County,Detention,Yuma County